time,target,actual,control,source_label
0.000000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.050000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.100000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.150000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.200000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.250000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.300000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.350000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.400000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.450000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.500000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.550000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.600000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.650000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.700000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.750000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.800000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.850000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.900000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
0.950000000,0.000000000,0.000000000,0.000000000,解析函数合成数据
1.000000000,1.000000000,0.000000000,0.400000000,解析函数合成数据
1.050000000,1.000000000,0.068937220,0.400000000,解析函数合成数据
1.100000000,1.000000000,0.133122100,0.400000000,解析函数合成数据
1.150000000,1.000000000,0.192882253,0.400000000,解析函数合成数据
1.200000000,1.000000000,0.248522707,0.400000000,解析函数合成数据
1.250000000,1.000000000,0.300327463,0.400000000,解析函数合成数据
1.300000000,1.000000000,0.348560942,0.400000000,解析函数合成数据
1.350000000,1.000000000,0.393469340,0.400000000,解析函数合成数据
1.400000000,1.000000000,0.435281878,0.400000000,解析函数合成数据
1.450000000,1.000000000,0.474211976,0.400000000,解析函数合成数据
1.500000000,1.000000000,0.510458340,0.400000000,解析函数合成数据
1.550000000,1.000000000,0.544205982,0.400000000,解析函数合成数据
1.600000000,1.000000000,0.575627154,0.400000000,解析函数合成数据
1.650000000,1.000000000,0.604882239,0.400000000,解析函数合成数据
1.700000000,1.000000000,0.632120559,0.400000000,解析函数合成数据
1.750000000,1.000000000,0.657481145,0.400000000,解析函数合成数据
1.800000000,1.000000000,0.681093443,0.400000000,解析函数合成数据
1.850000000,1.000000000,0.703077974,0.400000000,解析函数合成数据
1.900000000,1.000000000,0.723546953,0.400000000,解析函数合成数据
1.950000000,1.000000000,0.742604858,0.400000000,解析函数合成数据
2.000000000,1.000000000,0.760348964,0.400000000,解析函数合成数据
2.050000000,1.000000000,0.776869840,0.400000000,解析函数合成数据
2.100000000,1.000000000,0.792251813,0.400000000,解析函数合成数据
2.150000000,1.000000000,0.806573395,0.400000000,解析函数合成数据
2.200000000,1.000000000,0.819907688,0.400000000,解析函数合成数据
2.250000000,1.000000000,0.832322751,0.400000000,解析函数合成数据
2.300000000,1.000000000,0.843881955,0.400000000,解析函数合成数据
2.350000000,1.000000000,0.854644299,0.400000000,解析函数合成数据
2.400000000,1.000000000,0.864664717,0.400000000,解析函数合成数据
2.450000000,1.000000000,0.873994355,0.400000000,解析函数合成数据
2.500000000,1.000000000,0.882680834,0.400000000,解析函数合成数据
2.550000000,1.000000000,0.890768491,0.400000000,解析函数合成数据
2.600000000,1.000000000,0.898298608,0.400000000,解析函数合成数据
2.650000000,1.000000000,0.905309619,0.400000000,解析函数合成数据
2.700000000,1.000000000,0.911837311,0.400000000,解析函数合成数据
2.750000000,1.000000000,0.917915001,0.400000000,解析函数合成数据
2.800000000,1.000000000,0.923573713,0.400000000,解析函数合成数据
2.850000000,1.000000000,0.928842329,0.400000000,解析函数合成数据
2.900000000,1.000000000,0.933747741,0.400000000,解析函数合成数据
2.950000000,1.000000000,0.938314987,0.400000000,解析函数合成数据
3.000000000,1.000000000,0.942567381,0.400000000,解析函数合成数据
3.050000000,1.000000000,0.946526626,0.400000000,解析函数合成数据
3.100000000,1.000000000,0.950212932,0.400000000,解析函数合成数据
3.150000000,1.000000000,0.953645114,0.400000000,解析函数合成数据
3.200000000,1.000000000,0.956840691,0.400000000,解析函数合成数据
3.250000000,1.000000000,0.959815974,0.400000000,解析函数合成数据
3.300000000,1.000000000,0.962586149,0.400000000,解析函数合成数据
3.350000000,1.000000000,0.965165356,0.400000000,解析函数合成数据
3.400000000,1.000000000,0.967566759,0.400000000,解析函数合成数据
3.450000000,1.000000000,0.969802617,0.400000000,解析函数合成数据
3.500000000,1.000000000,0.971884340,0.400000000,解析函数合成数据
3.550000000,1.000000000,0.973822556,0.400000000,解析函数合成数据
3.600000000,1.000000000,0.975627156,0.400000000,解析函数合成数据
3.650000000,1.000000000,0.977307352,0.400000000,解析函数合成数据
3.700000000,1.000000000,0.978871720,0.400000000,解析函数合成数据
3.750000000,1.000000000,0.980328245,0.400000000,解析函数合成数据
3.800000000,1.000000000,0.981684361,0.400000000,解析函数合成数据
3.850000000,1.000000000,0.982946990,0.400000000,解析函数合成数据
3.900000000,1.000000000,0.984122577,0.400000000,解析函数合成数据
3.950000000,1.000000000,0.985217123,0.400000000,解析函数合成数据
4.000000000,1.000000000,0.986236213,0.400000000,解析函数合成数据
4.050000000,1.000000000,0.987185050,0.400000000,解析函数合成数据
4.100000000,1.000000000,0.988068477,0.400000000,解析函数合成数据
4.150000000,1.000000000,0.988891003,0.400000000,解析函数合成数据
4.200000000,1.000000000,0.989656827,0.400000000,解析函数合成数据
4.250000000,1.000000000,0.990369856,0.400000000,解析函数合成数据
4.300000000,1.000000000,0.991033732,0.400000000,解析函数合成数据
4.350000000,1.000000000,0.991651841,0.400000000,解析函数合成数据
4.400000000,1.000000000,0.992227340,0.400000000,解析函数合成数据
4.450000000,1.000000000,0.992763166,0.400000000,解析函数合成数据
4.500000000,1.000000000,0.993262053,0.400000000,解析函数合成数据
4.550000000,1.000000000,0.993726548,0.400000000,解析函数合成数据
4.600000000,1.000000000,0.994159023,0.400000000,解析函数合成数据
4.650000000,1.000000000,0.994561683,0.400000000,解析函数合成数据
4.700000000,1.000000000,0.994936586,0.400000000,解析函数合成数据
4.750000000,1.000000000,0.995285644,0.400000000,解析函数合成数据
4.800000000,1.000000000,0.995610638,0.400000000,解析函数合成数据
4.850000000,1.000000000,0.995913229,0.400000000,解析函数合成数据
4.900000000,1.000000000,0.996194959,0.400000000,解析函数合成数据
4.950000000,1.000000000,0.996457268,0.400000000,解析函数合成数据
5.000000000,1.000000000,0.996701494,0.400000000,解析函数合成数据
5.050000000,1.000000000,0.996928884,0.400000000,解析函数合成数据
5.100000000,1.000000000,0.997140598,0.400000000,解析函数合成数据
5.150000000,1.000000000,0.997337717,0.400000000,解析函数合成数据
5.200000000,1.000000000,0.997521248,0.400000000,解析函数合成数据
5.250000000,1.000000000,0.997692126,0.400000000,解析函数合成数据
5.300000000,1.000000000,0.997851225,0.400000000,解析函数合成数据
5.350000000,1.000000000,0.997999355,0.400000000,解析函数合成数据
5.400000000,1.000000000,0.998137274,0.400000000,解析函数合成数据
5.450000000,1.000000000,0.998265685,0.400000000,解析函数合成数据
5.500000000,1.000000000,0.998385244,0.400000000,解析函数合成数据
5.550000000,1.000000000,0.998496561,0.400000000,解析函数合成数据
5.600000000,1.000000000,0.998600204,0.400000000,解析函数合成数据
5.650000000,1.000000000,0.998696702,0.400000000,解析函数合成数据
5.700000000,1.000000000,0.998786548,0.400000000,解析函数合成数据
5.750000000,1.000000000,0.998870200,0.400000000,解析函数合成数据
5.800000000,1.000000000,0.998948085,0.400000000,解析函数合成数据
5.850000000,1.000000000,0.999020601,0.400000000,解析函数合成数据
5.900000000,1.000000000,0.999088118,0.400000000,解析函数合成数据
5.950000000,1.000000000,0.999150981,0.400000000,解析函数合成数据
6.000000000,1.000000000,0.999209510,0.400000000,解析函数合成数据
